CustomerID,order_count,total_spend,avg_order_value
14646,73,280206.02,3838.4386301369864
18102,60,259657.30000000002,4327.621666666667
17450,46,194390.79,4225.886739130435
16446,2,168472.5,84236.25
14911,201,143711.17,714.980945273632
12415,21,124914.53,5948.310952380953
14156,55,117210.08,2131.0923636363636
17511,31,91062.38,2937.496129032258
16029,63,80850.84,1283.3466666666666
12346,1,77183.6,77183.6
16684,28,66653.56,2380.4842857142858
14096,17,65164.79,3833.2229411764706
13694,50,65039.62,1300.7924
15311,91,60632.75,666.2939560439561
13089,97,58762.08,605.7946391752578
17949,45,58510.48,1300.232888888889
15769,26,56252.72,2163.566153846154
15061,48,54534.14,1136.1279166666666
14298,44,51527.3,1171.075
14088,13,50491.81,3883.9853846153846
15749,3,44534.3,14844.766666666668
12931,15,42055.96,2803.730666666667
17841,124,40519.84,326.77290322580643
15098,3,39916.5,13305.5
13798,57,37153.85,651.8219298245614
16013,47,37130.6,790.0127659574467
16422,51,34684.4,680.086274509804
15838,19,33643.08,1770.6884210526316
12748,209,33053.19,158.14923444976077
17404,15,31906.82,2127.1213333333335
17389,34,31833.68,936.2847058823529
13098,28,28882.44,1031.5157142857142
14680,16,28754.11,1797.131875
13081,11,28337.38,2576.1254545454544
13408,62,28117.04,453.5006451612903
17857,23,26879.04,1168.6539130434783
16333,22,26626.8,1210.3090909090909
13777,33,25977.16,787.1866666666666
12753,6,21429.39,3571.565
12744,7,21279.29,3039.8985714285714
16210,18,21086.3,1171.461111111111
17675,31,20374.28,657.2348387096774
17381,29,20275.61,699.1589655172414
12471,30,19788.65,659.6216666666667
15039,47,19766.59,420.5657446808511
12731,12,18895.91,1574.6591666666666
15159,30,18641.010000000002,621.3670000000001
12901,28,17654.54,630.5192857142857
12678,12,17628.46,1469.0383333333332
14031,19,17286.86,909.8347368421053
17428,28,17256.850000000002,616.3160714285715
13767,37,17220.36,465.41513513513513
13881,20,17159.52,857.976
16839,34,16594.35,488.06911764705876
12921,37,16587.09,448.29972972972973
17677,30,16345.38,544.846
15189,41,16225.390000000001,395.74121951219513
14607,14,16209.5,1157.8214285714287
15856,27,16143.64,597.9125925925925
14051,23,15610.390000000001,678.7126086956522
15513,19,14758.220000000001,776.7484210526317
16133,33,14589.04,442.09212121212124
14866,12,14389.900000000001,1199.1583333333335
16705,20,14034.99,701.7495
12681,22,13787.54,626.7063636363637
12621,20,13689.67,684.4835
12540,17,13400.24,788.2494117647059
12433,7,13375.87,1910.8385714285716
15498,27,13316.4,493.2
12477,6,13219.74,2203.29
17735,19,13110.02,690.001052631579
16525,26,13027.45,501.0557692307693
14258,9,12669.98,1407.7755555555555
13078,26,12627.94,485.69
12536,3,12601.830000000002,4200.610000000001
15640,15,12416.11,827.7406666666667
16000,3,12393.7,4131.233333333334
17340,11,12353.29,1123.0263636363636
12682,31,12279.82,396.1232258064516
13113,24,12245.960000000001,510.2483333333334
14606,93,12076.15,129.8510752688172
12557,5,11990.960000000001,2398.192
12939,8,11581.8,1447.725
15125,15,11528.48,768.5653333333333
14194,21,11349.52,540.4533333333334
12971,86,11189.91,130.11523255813952
14895,20,11138.710000000001,556.9355
12409,3,11072.67,3690.89
17581,25,11025.24,441.0096
15482,12,10879.76,906.6466666666666
13319,26,10845.55,417.1365384615384
17107,6,10797.48,1799.58
13340,7,10736.48,1533.782857142857
17139,12,10650.77,887.5641666666667
16779,22,10611.72,482.35090909090906
17865,20,10526.32,526.316
17706,17,10504.49,617.9111764705882
15251,11,10484.99,953.180909090909
14062,12,10464.85,872.0708333333333
14769,8,10416.98,1302.1225
15615,23,10399.74,452.1626086956522
15502,12,10384.93,865.4108333333334
16180,8,10254.18,1281.7725
16843,16,10196.57,637.285625
12590,2,9864.26,4932.13
13199,38,9817.12,258.34526315789475
13001,13,9785.970000000001,752.7669230769231
15078,32,9743.11,304.4721875
12709,15,9706.52,647.1013333333334
13458,14,9646.57,689.0407142857142
14733,12,9585.91,798.8258333333333
16523,21,9418.470000000001,448.4985714285715
12567,10,9401.28,940.128
14367,16,9227.82,576.73875
14667,25,9175.04,367.00160000000005
18092,11,9068.26,824.3872727272727
12451,5,9035.52,1807.104
13969,18,9024.17,501.34277777777777
13488,13,8968.31,689.87
13090,14,8910.82,636.4871428571429
16033,20,8778.82,438.941
17017,20,8694.26,434.713
17306,19,8631.31,454.2794736842105
16656,15,8625.800000000001,575.0533333333334
17243,26,8540.05,328.4634615384615
14527,55,8507.13,154.6750909090909
12683,15,8476.57,565.1046666666666
18139,6,8438.34,1406.39
15358,22,8347.2,379.41818181818184
16558,20,8338.49,416.92449999999997
14056,23,8152.71,354.46565217391304
14936,8,8137.02,1017.1275
16672,20,8134.9400000000005,406.747
13854,25,8109.5199999999995,324.38079999999997
14952,11,8099.49,736.3172727272727
18109,26,8004.92,307.88153846153847
14796,17,7975.49,469.1464705882353
12428,9,7956.46,884.0511111111111
15290,18,7943.22,441.29
14849,25,7930.54,317.2216
12757,13,7834.650000000001,602.6653846153847
13093,8,7832.47,979.05875
12435,2,7829.890000000001,3914.9450000000006
13629,11,7792.36,708.3963636363636
17811,39,7761.82,199.02102564102563
15044,17,7634.7300000000005,449.1017647058824
15194,15,7616.53,507.76866666666666
18172,20,7561.68,378.084
13263,35,7436.93,212.48371428571429
12980,9,7374.900000000001,819.4333333333334
15465,18,7354.62,408.59
17396,8,7330.8,916.35
12474,18,7324.09,406.8938888888889
12583,15,7281.38,485.42533333333336
13018,28,7277.7,259.91785714285714
18229,20,7276.9,363.84499999999997
16729,21,7205.33,343.11095238095237
16745,17,7180.7,422.3941176470588
16873,6,7123.62,1187.27
13324,10,7121.95,712.1949999999999
16923,19,7069.08,372.0568421052632
13985,15,7060.13,470.67533333333336
14961,9,7044.68,782.7422222222223
12766,7,6989.63,998.5185714285715
12798,3,6977.04,2325.68
12989,15,6924.11,461.6073333333333
13027,6,6912.0,1152.0
16187,15,6911.4400000000005,460.7626666666667
16713,15,6910.78,460.71866666666665
17416,7,6893.42,984.7742857142857
12705,9,6868.29,763.1433333333333
12476,11,6816.42,619.6745454545454
12830,6,6814.64,1135.7733333333333
15601,14,6776.56,484.04
16652,7,6773.97,967.71
18055,10,6761.34,676.134
16532,3,6748.8,2249.6
15023,11,6720.41,610.9463636363636
13576,18,6717.34,373.18555555555554
15249,13,6688.46,514.496923076923
16746,18,6680.11,371.1172222222222
16353,23,6675.71,290.24826086956523
12626,9,6620.48,735.6088888888888
16182,4,6617.65,1654.4125
15144,17,6580.4400000000005,387.084705882353
12472,7,6572.110000000001,938.8728571428572
17338,8,6493.54,811.6925
18223,14,6484.54,463.18142857142857
15694,14,6479.4,462.8142857142857
13225,7,6463.84,923.4057142857143
13102,24,6424.09,267.67041666666665
12431,15,6419.95,427.99666666666667
16814,21,6416.7,305.5571428571428
13871,13,6403.25,492.5576923076923
12359,4,6310.030000000001,1577.5075000000002
13668,21,6309.83,300.46809523809526
13709,13,6307.65,485.20384615384614
15005,28,6295.37,224.83464285714285
16126,4,6287.77,1571.9425
17315,38,6281.2300000000005,165.2955263157895
14057,17,6211.66,365.39176470588234
12357,1,6207.67,6207.67
14060,19,6140.42,323.18
13418,18,6127.43,340.4127777777778
15939,15,6115.01,407.6673333333334
17509,8,6083.639999999999,760.4549999999999
14735,32,6065.6900000000005,189.55281250000002
13097,10,6003.22,600.322
12637,8,6002.900000000001,750.3625000000001
14101,6,5976.79,996.1316666666667
15382,6,5955.71,992.6183333333333
14944,12,5900.25,491.6875
13209,8,5891.61,736.45125
13534,25,5870.08,234.8032
14505,8,5859.43,732.42875
14415,13,5855.57,450.42846153846153
13050,17,5836.860000000001,343.34470588235297
12720,25,5781.73,231.26919999999998
15218,11,5756.89,523.3536363636364
17686,7,5739.46,819.9228571428572
13316,4,5732.93,1433.2325
13178,11,5725.47,520.4972727272727
16553,12,5719.82,476.65166666666664
13468,37,5704.97,154.1883783783784
14110,12,5683.150000000001,473.59583333333336
17716,11,5655.99,514.180909090909
13004,18,5655.91,314.21722222222223
17049,9,5655.03,628.3366666666666
18118,26,5625.08,216.34923076923076
17757,30,5593.39,186.44633333333334
12839,14,5591.42,399.38714285714286
12481,10,5579.82,557.982
14688,21,5579.1,265.6714285714286
14049,4,5578.72,1394.68
16767,11,5575.56,506.86909090909097
12539,4,5568.35,1392.0875
16161,19,5533.67,291.2457894736842
18225,12,5504.96,458.74666666666667
16609,7,5493.46,784.78
15805,17,5488.18,322.83411764705886
16985,10,5464.12,546.412
16265,9,5447.0,605.2222222222222
18198,17,5425.56,319.15058823529415
12490,10,5417.93,541.793
17809,12,5411.91,450.9925
16701,13,5398.3,415.25384615384615
17719,15,5396.04,359.736
17850,34,5391.21,158.565
16303,3,5360.63,1786.8766666666668
13269,15,5343.28,356.21866666666665
17730,13,5298.4800000000005,407.5753846153847
15150,10,5291.33,529.133
17061,11,5232.2300000000005,475.65727272727275
18226,11,5228.05,475.27727272727276
12362,10,5226.2300000000005,522.623
16258,5,5203.51,1040.702
13756,14,5189.52,370.68
16191,13,5180.52,398.5015384615385
15727,7,5159.06,737.0085714285715
13599,21,5149.92,245.2342857142857
17858,12,5140.66,428.3883333333333
15903,7,5126.76,732.3942857142857
13941,5,5112.96,1022.592
15046,15,5090.42,339.36133333333333
16700,13,5076.55,390.50384615384615
13139,7,5064.9400000000005,723.5628571428572
12432,5,5059.32,1011.8639999999999
17602,6,5054.42,842.4033333333333
15301,12,5049.95,420.82916666666665
17426,6,5037.26,839.5433333333334
15719,13,5030.07,386.92846153846153
14755,11,5010.28,455.47999999999996
14562,18,5006.77,278.1538888888889
12444,5,5005.46,1001.092
14329,7,4975.24,710.7485714285714
15032,3,4959.1,1653.0333333333335
12437,18,4951.41,275.0783333333333
12700,4,4939.99,1234.9975
14709,13,4921.04,378.54153846153844
15786,3,4919.0,1639.6666666666667
15547,14,4910.6,350.75714285714287
17133,7,4892.240000000001,698.8914285714287
12664,9,4881.88,542.4311111111111
12688,1,4873.81,4873.81
14292,9,4871.93,541.3255555555556
17652,12,4867.72,405.6433333333334
15738,16,4812.42,300.77625
13013,13,4810.9400000000005,370.07230769230773
15298,12,4799.9,399.9916666666666
15555,16,4794.86,299.67875
15187,16,4777.18,298.57375
17365,8,4767.36,595.92
12955,11,4757.16,432.4690909090909
14180,25,4748.52,189.94080000000002
15152,13,4745.6900000000005,365.05307692307696
16722,13,4730.8099999999995,363.9084615384615
17690,15,4726.8,315.12
12714,5,4708.86,941.7719999999999
14135,15,4690.31,312.68733333333336
14191,13,4684.76,360.36615384615385
15291,15,4668.3,311.22
14189,15,4654.08,310.272
14390,9,4642.57,515.8411111111111
14159,11,4630.35,420.94090909090914
14286,3,4628.75,1542.9166666666667
13802,3,4599.42,1533.14
15093,6,4597.02,766.1700000000001
14004,7,4582.64,654.6628571428572
16931,21,4554.87,216.89857142857142
17068,21,4552.14,216.76857142857145
17613,14,4544.55,324.6107142857143
12484,6,4527.32,754.5533333333333
13267,19,4521.49,237.97315789473683
15299,7,4507.01,643.8585714285715
12524,8,4485.72,560.715
